State,2017_ACT_Parti%,2017_ACT_English,2017_ACT_Math,2017_ACT_Reading,2017_ACT_Science,2017_ACT_Composite,2018_ACT_Parti%,2018_ACT_Composite,2017_SAT_Parti%,2017_SAT_EBRW,2017_SAT_Math,2017_SAT_Total,2018_SAT_Parti%,2018_SAT_EBRW,2018_SAT_Math,2018_SAT_Total
Indiana,35.0,22.0,22.4,23.2,22.3,22.6,32.0,22.5,63.0,542,532,1074,63.0,542,532,1074
Idaho,38.0,21.9,21.8,23.0,22.1,22.3,36.0,22.3,93.0,513,493,1005,100.0,508,493,1001
Oregon,40.0,21.2,21.5,22.4,21.7,21.8,42.0,21.3,43.0,560,548,1108,48.0,564,553,1117
Texas,45.0,19.5,20.7,21.1,20.9,20.7,45.0,20.7,62.0,513,507,1020,66.0,520,512,1032
Georgia,55.0,21.0,20.9,22.0,21.3,21.4,53.0,21.4,61.0,535,515,1050,70.0,542,522,1064
Arizona,62.0,18.6,19.8,20.1,19.8,19.7,66.0,19.2,30.0,563,553,1116,29.0,577,572,1149
Alaska,65.0,18.7,19.8,20.4,19.9,19.8,33.0,20.8,38.0,547,533,1080,43.0,562,544,1106
New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,67.0,19.4,11.0,577,561,1138,16.0,552,540,1093
Iowa,67.0,21.2,21.3,22.6,22.1,21.9,68.0,21.8,2.0,641,635,1275,3.0,634,631,1265
West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,65.0,20.3,14.0,558,528,1086,28.0,513,486,999
Kansas,73.0,21.1,21.3,22.3,21.7,21.7,71.0,21.6,4.0,632,628,1260,4.0,633,631,1265
Florida,73.0,19.0,19.4,21.0,19.4,19.8,66.0,19.9,83.0,520,497,1017,56.0,550,549,1099
Ohio,75.0,21.2,21.6,22.5,22.0,22.0,100.0,20.3,12.0,578,570,1149,18.0,552,547,1099
South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,77.0,21.9,3.0,612,603,1216,3.0,622,618,1240
Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,100.0,20.1,3.0,629,625,1253,3.0,629,623,1252
Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,89.0,18.9,55.0,544,541,1085,56.0,480,530,1010
Illinois,93.0,21.0,21.2,21.6,21.3,21.4,43.0,23.9,9.0,559,556,1115,99.0,513,506,1019
North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,98.0,20.3,2.0,635,621,1256,2.0,640,643,1283
South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,100.0,18.3,50.0,543,521,1064,55.0,547,523,1070
Utah,100.0,19.5,19.9,20.8,20.6,20.3,100.0,20.4,3.0,624,614,1238,4.0,480,530,1010
Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,100.0,19.6,5.0,623,604,1228,6.0,624,607,1231
Alabama,100.0,18.9,18.4,19.7,19.4,19.2,100.0,19.1,5.0,593,572,1165,6.0,595,571,1166
Missouri,100.0,19.8,19.9,20.8,20.5,20.4,100.0,20.0,3.0,640,631,1271,4.0,633,629,1262
North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,100.0,19.1,49.0,546,535,1081,52.0,554,543,1098
Nevada,100.0,16.3,18.0,18.1,18.2,17.8,100.0,17.7,26.0,563,553,1116,23.0,574,566,1140
Montana,100.0,19.0,20.2,21.0,20.5,20.3,100.0,20.0,10.0,605,591,1196,10.0,606,592,1198
Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,100.0,20.5,3.0,642,649,1291,3.0,641,653,1294
Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,100.0,18.6,2.0,634,607,1242,3.0,630,606,1236
Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,99.0,21.3,3.0,644,651,1295,4.0,643,655,1298
Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,100.0,19.2,4.0,611,586,1198,4.0,615,595,1210
Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,100.0,20.2,4.0,631,616,1247,4.0,630,618,1248
Colorado,100.0,20.1,20.3,21.2,20.9,20.8,30.0,23.9,11.0,606,595,1201,100.0,519,506,1025
Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,100.0,19.4,3.0,614,594,1208,5.0,592,576,1169
Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,100.0,19.3,7.0,530,517,1047,8.0,541,521,1062
Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,100.0,20.0,3.0,626,604,1230,3.0,633,625,1257
